Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7981.0;0001-10-31;0001-11-30;10009;;Avdeling;-002.85;;12900.0;NOK;16125.0;16125.0;0.0;;;;
7982.0;0001-10-31;0001-11-30;10483;;Avdeling;nan;;94080.0;NOK;117600.0;117600.0;0.0;;;;
7983.0;0001-10-31;0001-11-30;10527;;Avdeling;-002.20;;6440.0;NOK;8050.0;8050.0;0.0;;;;
7984.0;0001-10-31;0001-11-30;10349;;Avdeling;nan;;3960.0;NOK;4950.0;4950.0;0.0;;;;
7985.0;0001-10-31;0001-11-30;10437;;Avdeling;nan;;4800.0;NOK;6000.0;6000.0;0.0;;;;
7986.0;0001-10-31;0001-11-30;10633;;Avdeling;nan;;3800.0;NOK;4750.0;4750.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7987.0;0001-10-31;0001-11-30;10850;;Avdeling;0001.53;;34650.0;NOK;43312.5;433130.5;-389818.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7988.0;0001-10-31;0001-11-30;10732;;Avdeling;nan;;-8540.0;NOK;-10675.0;0.0;-10675.0;;;;
7989.0;0001-10-31;0001-10-31;10349;;Avdeling;-005.25;;-17850.0;NOK;-22312.5;0.0;-22312.5;;;;
7990.0;0001-10-31;0001-10-31;10171;;Avdeling;nan;;-4060.0;NOK;-5075.0;0.0;-5075.0;;;;
7991.0;0001-10-31;0001-12-15;10171;;Avdeling;nan;;4060.0;NOK;5075.0;0.0;5075.0;;;;
7992.0;0001-10-31;0001-12-15;10171;;Avdeling;nan;;31500.0;NOK;39375.0;39375.0;0.0;;;;
7993.0;0001-10-31;0001-12-15;10171;;Avdeling;nan;;12600.0;NOK;15750.0;15750.0;0.0;;;;
7994.0;0001-10-31;0001-10-31;10513;;Avdeling;0001.61;;-93870.0;NOK;-117337.5;0.0;-117337.5;;;;
7995.0;0001-10-31;0001-11-30;10852;;Avdeling;0001.61;;93870.0;NOK;117337.5;0.0;117337.5;2.0;Inkassovarsel;0002-05-04;0002-05-18
7996.0;0001-10-31;0001-11-30;10732;;Avdeling;0001.54;;30000.0;NOK;37500.0;26825.0;10675.0;;;;
7997.0;0001-10-31;0001-10-31;10135;;Avdeling;nan;;-7680.0;NOK;-9600.0;0.0;-9600.0;;;;
7998.0;0001-10-31;0001-11-30;10135;;Avdeling;nan;;7680.0;NOK;9600.0;9600.0;0.0;;;;
7999.0;0001-11-13;0001-11-13;10524;;Avdeling;0001.08;;-4000.0;NOK;-5000.0;0.0;-5000.0;;;;
8000.0;0001-11-13;0001-11-13;10804;;Avdeling;nan;;-44000.0;NOK;-55000.0;0.0;-55000.0;;;;
8001.0;0001-11-13;0001-11-13;10804;;Avdeling;0001.26;;-160000.0;NOK;-200000.0;0.0;-200000.0;;;;
8002.0;0001-11-13;0001-12-13;10598;;Avdeling;nan;;9900.0;NOK;12375.0;12375.0;0.0;;;;
8003.0;0001-10-31;0001-12-15;10171;;Avdeling;0000.48;;474250.0;NOK;592812.5;592812.5;0.0;;;;
8004.0;0001-11-01;0001-11-01;10135;;Avdeling;nan;;-5760.0;NOK;-7200.0;0.0;-7200.0;;;;
8005.0;0001-11-01;0001-12-01;10804;;Avdeling;0001.26;;147000.0;NOK;183750.0;183750.0;0.0;;;;
8006.0;0001-11-01;0001-12-01;10804;;Avdeling;nan;;27000.0;NOK;33750.0;33750.0;0.0;;;;
8007.0;0001-11-01;0001-12-01;10835;;Avdeling;nan;;29900.0;NOK;37375.0;37375.0;0.0;;;;
8008.0;0001-11-01;0001-11-01;10840;;Avdeling;nan;;-19450.0;NOK;-24312.5;0.0;-24312.5;;;;
8009.0;0001-11-01;0001-12-01;10855;;Avdeling;nan;;19450.0;NOK;24312.5;24312.5;0.0;0.0;Betalingspåminnelse;0002-01-08;0002-01-08
8010.0;0001-11-30;0001-12-30;10847;;Avdeling;0001.59;;81000.0;NOK;101250.0;101250.0;0.0;0.0;Betalingspåminnelse;0002-01-08;0002-01-08
8011.0;0001-11-30;0001-12-30;10840;;Avdeling;0001.82;;49500.0;NOK;61875.0;61875.0;0.0;;;;
8012.0;0001-11-30;0002-01-14;10171;;Avdeling;0000.48;;116550.0;NOK;145687.5;145687.5;0.0;;;;
